noise_std,mean,std,count
0.05,0.28029336648919656,0.39188529773405345,24000
0.05,0.2803891495924205,0.3939956288003001,21600
0.25,0.3397256062945888,0.3982432751580652,2400
0.25,0.3403606471059708,0.3938359378858731,24000
0.2,0.3295360299879912,0.3995509384062528,4800
0.25,0.33375152162177213,0.39377518623965224,19200
0.2,0.32492840875073037,0.39099306964667185,24000
0.2,0.3209849957232651,0.3944029509107161,16800
0.3,0.34980838856254226,0.39347965227768444,7200
0.3,0.35592715727308927,0.3939812217230866,24000
0.0,0.20814977590961667,0.34125059975889704,9600
0.3,0.35203123913185586,0.39610823741118784,14400
0,0.21853068398872677,0.34909891695103856,24000
0.0,0.2213170748558885,0.3578778041147776,12000
0.15,0.3060995222371291,0.39183168693502984,12000
0.15,0.3101019393510113,0.3914185618940635,24000
0.1,0.29509995448231235,0.3932722727816492,14400
0.15,0.29811213347986365,0.3907641772654346,9600
0.1,0.3009894989089344,0.39391514315949616,24000
0.05,0.239984064423167,0.3620851844416851,16800
0.1,0.2855031547599655,0.3908673351965651,7200
0.05,0.24709674846643984,0.3693824663803661,24000
0.05,0.22645368849727035,0.3533650922019892,4800
0.25,0.3074043414175593,0.37281913435870706,19200
0.25,0.3021984376342509,0.37258774612655776,24000
0.2,0.29687050921911534,0.37375208378953756,21600
0.25,0.306847505447785,0.37725091606313405,2400
0.2,0.2870886873084111,0.3710824485654798,24000
0.3,0.32549712442083617,0.37687265978053414,24000
0.0,0.17845400836901545,0.31529293133291386,2400
0.3,0.3192017558354151,0.3760121999189639,21600
0,0.20256305989997297,0.33727045294858476,24000
0.0,0.19382624623249065,0.3361988519374048,19200
0.15,0.2768617730485202,0.3701438744232628,4800
0.15,0.2783528654768211,0.36842006478333944,24000
0.1,0.25900313918967555,0.36395567959748126,7200
0.15,0.2729872163825189,0.37220713429484253,16800
0.1,0.2661036736221621,0.3709873159169307,24000
0.05,0.25910385528137414,0.37859431957828377,9600
0.1,0.25917421884814645,0.3712485177533862,14400
0.05,0.2583745909834575,0.37724955078744804,24000
0.05,0.248287041914584,0.37557203900042613,12000
0.25,0.31153181522390827,0.37871828063435375,12000
0.25,0.31308968960198663,0.3782438134172488,24000
0.2,0.30314274107388334,0.38001639407517895,14400
0.25,0.30746018844522505,0.3795181056090257,9600
0.2,0.3039857740456909,0.3819328991082102,24000
0.2,0.2953061972489855,0.3784307327546752,7200
0.3,0.3310119767327901,0.38162156522007595,16800
0.3,0.3301398089085687,0.3832902445835052,24000
0.0,0.2050551825747575,0.3410719716153844,19200
0.3,0.3214451456322358,0.37326323719478555,4800
0,0.20015672137604473,0.34199858851651005,24000
0.0,0.22219141631713304,0.3563783160469165,2400
0.15,0.28791413522491155,0.37770731720017797,21600
0.15,0.2813149344118234,0.37693141333064467,24000
0.1,0.2722365157241806,0.37726793485508187,24000
0.05,0.24155766374515816,0.3632175389782754,2400
0.1,0.2690017991381574,0.3776839947187875,21600
0.05,0.25766341631507295,0.37418781128404,24000
0.05,0.2515534309354257,0.37465816738779506,19200
0.25,0.31508062741943427,0.37847308755172004,4800
0.25,0.31418485369639143,0.37712265392306216,24000
0.2,0.2930007900812202,0.3711445082587899,7200
0.25,0.3112707023651837,0.3796519837603039,16800
0.2,0.3060089489547724,0.38012307567574316,24000
0.2,0.2993650506502983,0.3786860933592991,14400
0.3,0.32771225862386816,0.3786631149797331,9600
0.3,0.33185493798207066,0.38126079720629774,24000
0.0,0.20150080549307825,0.33661869590413995,12000
0.3,0.3218716596446565,0.3777789646928615,12000
0,0.20032848503930828,0.33503606011855525,24000
0.0,0.20924633061781825,0.34919462591391764,9600
0.15,0.28254040681010617,0.37377698615458277,14400
0.15,0.2922334328448026,0.3806378896556199,24000
0.1,0.26476320936113495,0.371149330888576,16800
0.15,0.27528661495219897,0.3705231466312687,7200
0.1,0.27488088432785673,0.37792305980496244,24000
0.05,0.2506829181088342,0.37236652415534727,19200
0.1,0.26481676800976817,0.3710000284661408,4800
0.05,0.2444714718287626,0.36969366566920847,24000
0.05,0.24872417949966025,0.37451410725495604,2400
0.25,0.31252354534515003,0.3774279287619948,21600
0.25,0.3037097393311445,0.3745498144120671,24000
0.2,0.29254768795693176,0.37361171461969406,24000
0.2,0.29486974756230167,0.3759360849314134,21600
0.3,0.3175978637620016,0.3777165564234525,2400
0.3,0.33177770774222676,0.38151255200011336,24000
0.0,0.1878135472245995,0.3307014967337215,4800
0.3,0.32400103661111557,0.37932593251316626,19200
0,0.19860365542417135,0.33513059460517214,24000
0.0,0.19496194816994075,0.3400404400633923,16800
0.15,0.2697055351155931,0.36592370533463114,7200
0.15,0.2820534628269434,0.37498916751940053,24000
0.1,0.26293247664785063,0.371588939437205,9600
0.15,0.27087750207832084,0.37008808406137295,14400
0.1,0.26748859817990533,0.37349688355236527,24000
0.05,0.26239947080671866,0.38381062906010865,12000
0.1,0.2569084545763802,0.37007492326142716,12000
0.05,0.26704698486533973,0.38622455405247336,24000
0.05,0.2598005178434929,0.3884766177566725,9600
0.25,0.3256227853363231,0.3885410818494852,14400
0.25,0.3315878054445036,0.3924499975693511,24000
0.2,0.3129611577126575,0.3888398140648965,16800
0.25,0.30665809003175853,0.38196351465938316,7200
0.2,0.31314664016604293,0.3909775064342448,24000
0.2,0.2994229507187804,0.37998877100057604,4800
0.3,0.3458543480230804,0.3907942295972764,19200
0.3,0.3411861032988592,0.3925012751586754,24000
0.0,0.20918230612771022,0.3463683414397202,21600
0.3,0.34429241019783335,0.3931819874005407,2400
0,0.20528974645399875,0.34869498014378913,24000
0.15,0.29729498733957793,0.38700597255504093,24000
0.1,0.2758910350161403,0.3808586659997629,2400
0.15,0.29533495260630216,0.38909292564212655,21600
0.1,0.28495704739615857,0.38752184436406606,24000
0.05,0.24261485358769874,0.3709592742385486,4800
0.1,0.2790678072975627,0.3889455572314599,19200
0.05,0.2488727817271271,0.37331916022308587,24000
0.05,0.24273584874121465,0.37552785627538676,16800
0.25,0.3049407225553735,0.37645742393633114,7200
0.25,0.3141778257318293,0.38246478805818496,24000
0.2,0.2920821550081133,0.3759282618187502,9600
0.25,0.305571670542581,0.38020548235922125,14400
0.2,0.29217252843103975,0.3764306991987582,24000
0.2,0.28698520099431163,0.3780299862530027,12000
0.3,0.327441391047835,0.3833973976224817,12000
0.3,0.3282192269208348,0.3817064645089778,24000
0.0,0.19216507688864584,0.3364975834004127,14400
0.3,0.31774435523457695,0.3822570123772733,9600
0,0.19627148235211306,0.3409387254206191,24000
0.0,0.1941946161114664,0.3421409453643651,7200
0.15,0.2761531447754371,0.3747778514924838,16800
0.15,0.28315901400627974,0.3808175503840304,24000
0.1,0.2671666036280021,0.3766561671691206,19200
0.15,0.2543096257444909,0.3590472867671902,4800
0.1,0.2608381037522522,0.3755265906931642,24000
0.1,0.2573886310150805,0.37231400631102907,2400
